net,length_um
_04879_,130.7
_07622_,130.58
_05482_,130.45
_08136_,130.37
_04816_,130.33
_04997_,130.22
_04013_,130.18
_04094_,130.12
blkProj14999_7.blkProj14991_42.blk3979_4.accum\[39\],130.12
_08200_,129.9
_06054_,129.83
_03840_,129.74
_04571_,129.72
_03976_,129.62
_07014_,129.57
_08185_,129.48
_05487_,129.15
_06958_,129.1
blkProj14999_7.blk3994_49.rs1_data_o\[8\],128.96
_05490_,128.885
_06717_,128.88
_04604_,128.8
blkProj14999_7.blkProj14991_42.blk3979_4.accum\[41\],128.74
clknet_leaf_143_i_clk,128.68
_05568_,128.66
_08133_,128.5
_06795_,128.48
_04085_,128.3
_04159_,128.25
_08318_,128.1
_04773_,127.7
_03844_,127.63
_08525_,127.62
_05737_,127.6
_05414_,127.16
blkProj14999_7.blk3989_105.MULT\[31\],127.12
blkProj14999_7.blk3994_49.rs1_data_o\[2\],127.12
clknet_leaf_183_i_clk,127.08
_05415_,127.07
blkProj14999_7.blkProj14991_42.blk3979_4.accum\[45\],127.07
_06947_,126.96
_04817_,126.9
_03598_,126.86
_08814_,126.625
_04799_,126.52
_04413_,126.26
net85,126.13
_05576_,126.08
_03842_,125.76
_04067_,125.76
_04499_,125.76
_04661_,125.68
_04775_,125.68
_05264_,125.58
_08451_,125.54
clknet_leaf_51_i_clk,125.18
_08126_,125.14
_08306_,124.86
_03055_,124.75
clknet_leaf_33_i_clk,124.695
clknet_leaf_55_i_clk,124.6
clknet_leaf_132_i_clk,124.56
_05270_,124.42
_04805_,124.31
_05328_,124.01
_05238_,123.86
_05872_,123.12
blkProj14999_7.blkProj14963_55.blk1779_46.A\[7\],123.12
_04790_,123.03
blkProj14999_7.blkProj14963_55.blk1779_46.A\[4\],123
_06665_,122.98
_05743_,122.87
_05240_,122.78
_02879_,122.695
_03357_,122.66
clknet_leaf_164_i_clk,122.62
_03862_,122.41
_04623_,122.36
_04731_,122.3
_05878_,122.21
clknet_leaf_49_i_clk,122.16
_06693_,122.155
_05483_,122.01
blkProj14999_7.blk3989_105.MULT\[22\],121.86
_06988_,121.74
_00511_,121.65
_06924_,121.6
_04122_,121.56
_04810_,121.52
_05812_,121.48
clknet_leaf_84_i_clk,121.44
_05783_,121.29
clknet_leaf_69_i_clk,121.2
_05046_,121.14
_05800_,121.12
_04804_,120.97
_08414_,120.95
_06979_,120.94
